;cnpj;nome;qual
0;16.501.555/0001-57;AUGUSTO BARBOSA ESTELLITA LINS;10-Diretor
1;16.501.555/0001-57;THIAGO DOS SANTOS PIAU;16-Presidente
2;16.501.555/0001-57;CARLOS ALBERTO BORDINI;10-Diretor
3;16.501.555/0001-57;RAFAEL MARTINS PEREIRA;10-Diretor
4;16.501.555/0001-57;SANDRA RIBAS BOLFER;10-Diretor
5;16.501.555/0001-57;MAURICIO DE OLIVEIRA ZANELLA;10-Diretor
6;16.501.555/0001-57;CAIO FIUZA SILVA;10-Diretor
7;16.501.555/0001-57;VINICIUS DO NASCIMENTO CARRASCO;10-Diretor
8;14.994.237/0001-40;AMANDA LUZ SANT ANNA;10-Diretor
9;14.994.237/0001-40;RODRIGO SOUZA DO NASCIMENTO;10-Diretor
10;14.994.237/0001-40;JOAO AUGUSTO DE SOUZA BARCELLOS;10-Diretor
11;14.994.237/0001-40;DANIELA MASTROROCCO;10-Diretor
12;14.994.237/0001-40;ANDREIA ALMEIDA SAAB;10-Diretor
13;18.727.053/0001-74;THIAGO DOS SANTOS PIAU;16-Presidente
14;18.727.053/0001-74;CARLOS ALBERTO BORDINI;10-Diretor
15;18.727.053/0001-74;RAFAEL MARTINS PEREIRA;10-Diretor
16;18.727.053/0001-74;SANDRA RIBAS BOLFER;10-Diretor
17;18.727.053/0001-74;AUGUSTO BARBOSA ESTELLITA LINS;10-Diretor
18;18.727.053/0001-74;CAIO FIUZA SILVA;10-Diretor
19;18.727.053/0001-74;MAURICIO DE OLIVEIRA ZANELLA;10-Diretor
